log_income,age,shock1,shock2,shock3,shock4,shock5
6.161244961,22,-0.358866698,-1.905947325,-0.268107607,0.627535129,0.671006379
8.527061874,32,-0.36025344,0.608186757,-1.156273391,0.17029124,0.874575609
8.663423557,26,-0.185434306,-0.894592097,0.017270761,-0.218002238,0.929639468
13.42179736,26,-0.395338571,-0.347682993,0.281513409,0.796294283,0.708375244
8.742410194,31,2.206660825,0.50969259,-0.766410356,-0.305967069,-0.672528662
7.865708324,27,-1.468438106,-0.274232283,-0.019657251,-0.374939538,-1.7656544
3.065628042,26,0.93664123,0.318356663,0.353986405,-0.776348152,0.140767246
8.370493989,39,0.174356294,-0.035296099,-0.396127245,-1.343931964,0.015651181
8.875399212,30,-0.935240789,0.607853241,-1.493995898,-0.996104006,-1.297046426
13.56757503,30,0.657912939,-0.117082006,-1.373644926,1.045097906,0.370902451
9.505972239,23,1.597875324,-1.253429926,-0.431842067,1.290482431,-0.342038657
14.09570762,44,-0.240020025,0.674841411,-0.4747545,0.886874725,-0.39558647
11.61884929,31,1.439094259,-0.470840633,-1.387751927,0.488443272,0.412144547
10.48323923,38,0.196007436,0.28005325,-0.030571544,0.597444486,-0.300706712
13.32847056,25,0.750898286,0.105536381,-0.242699694,0.409817003,1.186175311
7.654458084,33,0.810192229,-0.588455585,0.307088715,-2.121009029,0.17366205
9.475445345,32,-1.205268863,1.331563376,-0.889380845,0.88361596,1.3927412
9.06288478,26,-1.830031707,-0.896498314,1.358570918,-0.140483807,-0.486198853
10.37553679,29,-1.1680172,-0.894457017,1.30054297,0.059095847,1.724576987
4.992339247,30,0.972513382,0.960579104,-0.099503974,-0.463111163,0.964245249
8.683589678,27,-1.263250041,-0.184281609,-1.399166381,-0.183778483,-1.156114594
10.72745797,27,-0.950135783,-0.217983111,-1.231876747,1.282255453,-0.401283148
8.3948891,40,-0.403816126,-0.595068611,-0.316437695,-1.386885235,-2.651696118
13.11827327,30,-0.429308769,1.392702196,0.859968869,0.934684447,0.039901583
12.08990305,27,-0.470806055,1.849750941,1.044362712,-0.5429599,0.992880277
8.756933299,27,0.055978953,1.172933334,-1.359878364,0.814508337,0.484327004
15.33347446,33,-0.757358532,0.897011397,0.948088077,1.5100963,-0.08446243
14.43308348,31,-0.055744808,-0.675759077,-1.118847636,-1.548373949,1.317919339
12.21586127,21,0.459610785,0.005769684,-0.321169211,-1.755230102,1.017498135
9.506148632,29,-0.438173236,-0.614560305,0.269021251,0.777866634,0.311559155
15.77270686,26,0.844051114,0.31533675,0.976430603,-0.876988017,-1.102921471
9.656572853,31,0.954961154,-0.182206947,1.193269486,0.04312972,0.660437004
12.04554357,32,-1.632958917,0.611389723,0.83160289,0.117000727,1.212777254
11.73562669,22,-0.703286264,0.867261939,0.05315384,1.595863615,1.048817789
7.843671649,29,1.297555937,-1.078001781,-1.410671512,-0.40403353,0.729037911
12.20747025,17,-0.76653115,0.498014401,0.319275156,-3.218650677,0.483278901
14.60457273,42,-0.13261531,0.310440996,1.563607108,-1.074661507,-1.291001299
9.499924659,29,0.121638427,0.252751393,-0.375655679,1.004855864,-0.722896961
13.80612646,23,0.408666205,0.293977559,0.080168396,0.284644563,0.707969561
3.850533962,26,-0.218029053,-0.572433411,0.788983538,0.647416914,-0.049317001
11.81499986,27,0.561231091,-0.058610728,0.992062329,-0.50992737,1.382860427
11.94961719,28,0.565596633,1.536129823,-0.887419337,-0.548439603,-1.243239111
10.24670162,41,0.157089068,0.955139024,-1.600261932,0.068833579,1.340816206
8.180782572,34,-0.554877001,-0.438744891,-1.416072709,1.066173426,2.575566623
10.78985846,34,-0.041193688,-0.55347214,0.000480353,0.944155106,-1.03730305
9.522490643,29,-0.419040778,0.765089124,-1.649335096,-0.461057327,0.016094544
7.655133069,33,0.561851885,-0.264604571,-0.377969536,-0.256332024,-0.139332992
9.717612965,31,-0.918069936,2.169799523,-1.257974661,-0.29101132,0.219118775
7.988780135,31,-0.571433801,-0.137541706,-0.144269648,0.003856435,-0.714662584
